No.,Category,Service,Release Date,Year,label
1,Analytics,Amazon Athena,Released November 30,2016,1
2,Analytics,Amazon CloudSearch,Released April 11,2012,1
3,Analytics,Amazon Elasticsearch Service,Released October 1,2015,1
4,Analytics,Amazon EMR,Released April ,2009,1
5,Analytics,Amazon Kinesis,Released December 16,2013,1
6,Analytics,Amazon Redshift,Released February 14,2013,1
7,Analytics,Amazon Quicksight,Released November 15,2016,1
8,Analytics,AWS Data Pipeline,Released December,2012,1
9,Analytics,AWS Glue,Released August 14,2017,1
10,Analytics,Amazon Managed Streaming for Kafka,Announced November 29,2018,1
11,Analytics,AWS Lake Formation,Announced November 28,2018,1
12,Application Integration,Amazon EventBridge,Released July 11,2019,2
13,Application Integration,AWS Step Functions,Released December 1,2016,2
14,Application Integration,Amazon Simple Queue Service (SQS),Released November 5,2012,2
15,Application Integration,Amazon Simple Notification Service (SNS),Released April 7,2010,2
16,Application Integration,Amazon MQ,Released November 28,2017,2
17,Application Integration,Amazon AppSync,Released April 13,2018,2
18,AR & VR,Amazon Sumerian,Released May 15,2018,3
19,AWS Cost Management,AWS Cost Explorer,Released April 8,2014,4
20,AWS Cost Management,AWS Budgets,Released June 29,2015,4
21,AWS Cost Management,Reserved Instance Reporting,Released December,2016,4
22,AWS Cost Management,AWS Cost and Usage Report,Release December 16,2015,4
23,Blockchain,Amazon Managed Blockchain,Released April 13,2019,5
24,Blockchain,Amazon Quantum Ledger Database (QLDB),Released September 10,2019,5
25,Business Applications,Alexa for Business,Released November 30,2017,6
26,Business Applications,Amazon Chime,Released February 13,2017,6
27,Business Applications,Amazon WorkMail,Released January 4,2016,6
28,Customer Engagement,Amazon Connect,Released March 28,2017,7
29,Customer Engagement,Amazon Pinpoint,Released December 1,2016,7
30,Customer Engagement,Amazon Simple Email Service (SES),Released June 25,2011,7
31,Compute,Amazon EC2 ,Released August,2006,8
32,Compute,Amazon EC2 Auto Scaling,Released May 17,2009,8
33,Compute,Amazon Elastic Container Service,Released April 9,2015,8
34,Compute,Amazon Elastic Container Service for Kubernetes,Released June 5,2018,8
35,Compute,Amazon Elastic Container Registry,Released December 21,2015,8
36,Compute,Amazon Lightsail,Released November 30,2016,8
37,Compute,AWS Batch,Released January 5,2017,8
38,Compute,AWS Elastic Beanstalk,Released January 19,2011,8
39,Compute,AWS Fargate,Released November 29,2017,8
40,Compute,AWS Lambda, Released April 15,2015,8
41,Compute,AWS Serverless Application Repository,Released February 21,2018,8
42,Compute,VMware Cloud on AWS,Released August 28,2017,8
43,Compute,AWS Outposts,In Preview,2019,8
44,End User Computing,Amazon WorkSpaces,Released March 26,2014,9
45,End User Computing,Amazon AppStream,Released December 1,2016,9
46,End User Computing,Amazon WorkDocs,Released July 10,2014,9
47,End User Computing,Amazon WorkLink,Released January 23,2019,9
48,Game Tech,Amazon GameLift,Released February 9,2016,10
49,Game Tech,Amazon Lumberyard,Released February 9,2016,10
50,Database,Amazon Aurora,Released July 27,2015,11
51,Database,Amazon RDS,Released October 22,2009,11
52,Database,Amazon DynamoDB,Released January 18,2012,11
53,Database,Amazon ElastiCache,Released August 22,2011,11
54,Database,Amazon Neptune,Released May 30,2018,11
55,Database,AWS Database Migration Service,Released Mar 15,2016,11
56,Database,Amazon Timestream,Preview announced on Nov 28,2018,11
57,Database,Amazon DocumentDB (with MongoDB compatibility),Released January 9,2019,11
58,Developer Tools,AWS Cloud Development Kit,Generally Available July 11,2019,12
59,Developer Tools,AWS CodeStar,Released April 19,2017,12
60,Developer Tools,AWS CodeCommit,Released July 9,2015,12
61,Developer Tools,AWS CodeBuild,Released December 1,2016,12
62,Developer Tools,AWS CodeDeploy,Released November 12,2014,12
63,Developer Tools,AWS CodePipeline,Released July 9,2015,12
64,Developer Tools,AWS Cloud9,Released November 30,2017,12
65,Developer Tools,AWS X-Ray,Released April 19,2017,12
66,Developer Tools,AWS Command Line Interface,Released September 3,2013,12
67,Internet of Things,AWS IoT Core,Released December 18,2015,13
68,Internet of Things,Amazon FreeRTOS,Released November 29,2017,13
69,Internet of Things,AWS Greengrass,Released June 7,2017,13
70,Internet of Things,AWS IoT 1-Click,Released May 16,2018,13
71,Internet of Things,AWS IoT Analytics,Released April 24,2018,13
72,Internet of Things,AWS IoT Button,Released May,2016,13
73,Internet of Things,AWS IoT Device Defender,Released August 2,2018,13
74,Internet of Things,AWS IoT Device Management,Released November 29,2017,13
75,Internet of Things,AWS IoT Events,In Preview,2018,13
76,Internet of Things,AWS IoT SiteWise,In Preview,2018,13
77,Internet of Things,AWS Partner Device Catalog,Released November,2018,13
78,Internet of Things,AWS IoT Things Graph,Released May 30,2019,13
79,Machine Learning,Amazon SageMaker,Released November 29,2017,14
80,Machine Learning,Amazon Comprehend,Released November 29,2017,14
81,Machine Learning,Amazon Lex,Released April 19,2017,14
82,Machine Learning,Amazon Polly,Released November 30,2016,14
83,Machine Learning,Amazon Rekognition,Released November 30,2016,14
84,Machine Learning,Amazon Translate,Released April 4,2018,14
85,Machine Learning,Amazon Transcribe,Released April 4,2018,14
